Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2023-02-27,52433449.33,97523286.74,67959914.05,217916650.12
2023-02-28,54999858.03,98612690.68,68396201.62,222008750.33
2023-03-01,54828901.64,98018891.92,68524975.07,221372768.63
2023-03-02,55523434.41,99121189.86,68791738.03,223436362.3
2023-03-03,56102816.160000004,99905529.22,68900939.29,224909284.67
2023-03-04,55113085.89,94654281.54,65493754.52,215261121.95
2023-03-05,50999420.38,80376164.64,60768502.51,192144087.53
2023-03-06,52750607.55,97413714.02,67711252.15,217875573.72
2023-03-07,54892305.57,97044154.06,67034652.47,218971112.1
2023-03-08,54262973.97,96394722.61,66563212.47,217220909.05
2023-03-09,54116162.64,94320122.49,65221459.76,213657744.89
2023-03-10,53151024.33,95166295.8,66261748.93,214579069.06
